<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	01:00:00	1518.18	1520.84	1518.00	1520.07	217	0	17
2020.01.02	01:01:00	1520.07	1520.49	1519.72	1520.43	123	0	19
2020.01.02	01:02:00	1520.43	1520.49	1520.24	1520.41	70	0	16
2020.01.02	01:03:00	1520.40	1520.52	1520.20	1520.51	49	0	16
2020.01.02	01:04:00	1520.51	1520.92	1520.43	1520.68	84	0	16
2020.01.02	01:05:00	1520.68	1521.09	1520.52	1520.97	108	0	16
2020.01.02	01:06:00	1520.97	1521.01	1520.81	1521.00	48	0	16
2020.01.02	01:07:00	1521.00	1521.26	1520.99	1521.24	67	0	16
2020.01.02	01:08:00	1521.21	1521.31	1520.98	1521.11	71	0	16
